Pricing Date,NYSE:F - Share Pricing 
Feb-21-2012,12.53
Feb-22-2012,12.28
Feb-23-2012,12.4
Feb-24-2012,12.23
Feb-27-2012,12.3
Feb-28-2012,12.25
Feb-29-2012,12.38
Mar-01-2012,12.66
Mar-02-2012,12.72
Mar-05-2012,12.46
Mar-06-2012,12.09
Mar-07-2012,12.24
Mar-08-2012,12.46
Mar-09-2012,12.58
Mar-12-2012,12.43
Mar-13-2012,12.7
Mar-14-2012,12.88
Mar-15-2012,12.9
Mar-16-2012,12.51
Mar-19-2012,12.63
Mar-20-2012,12.54
Mar-21-2012,12.57
Mar-22-2012,12.32
Mar-23-2012,12.32
Mar-26-2012,12.48
Mar-27-2012,12.32
Mar-28-2012,12.32
Mar-29-2012,12.5
Mar-30-2012,12.475
Apr-02-2012,12.62
Apr-03-2012,12.64
Apr-04-2012,12.505
Apr-05-2012,12.47
Apr-09-2012,12.22
Apr-10-2012,11.79
Apr-11-2012,11.91
Apr-12-2012,12.07
Apr-13-2012,11.92
Apr-16-2012,11.88
Apr-17-2012,11.91
Apr-18-2012,11.79
Apr-19-2012,11.66
Apr-20-2012,11.41
Apr-23-2012,11.35
Apr-24-2012,11.39
Apr-25-2012,11.73
Apr-26-2012,11.87
Apr-27-2012,11.6
Apr-30-2012,11.28
May-01-2012,11.23
May-02-2012,11.1
May-03-2012,10.92
May-04-2012,10.67
May-07-2012,10.66
May-08-2012,10.61
May-09-2012,10.69
May-10-2012,10.71
May-11-2012,10.58
May-14-2012,10.32
May-15-2012,10.15
May-16-2012,10.16
May-17-2012,10.01
May-18-2012,10.01
May-21-2012,10.2
May-22-2012,10.19
May-23-2012,10.41
May-24-2012,10.59
May-25-2012,10.6
May-29-2012,10.84
May-30-2012,10.66
May-31-2012,10.56
Jun-01-2012,10.12
Jun-04-2012,10.04
Jun-05-2012,10.19
Jun-06-2012,10.57
Jun-07-2012,10.55
Jun-08-2012,10.66
Jun-11-2012,10.45
Jun-12-2012,10.5
Jun-13-2012,10.3
Jun-14-2012,10.41
Jun-15-2012,10.35
Jun-18-2012,10.34
Jun-19-2012,10.56
Jun-20-2012,10.65
Jun-21-2012,10.27
Jun-22-2012,10.19
Jun-25-2012,10.01
Jun-26-2012,10.01
Jun-27-2012,10.02
Jun-28-2012,10.09
Jun-29-2012,9.59
Jul-02-2012,9.39
Jul-03-2012,9.6
Jul-05-2012,9.57
Jul-06-2012,9.5
Jul-09-2012,9.45
Jul-10-2012,9.35
Jul-11-2012,9.33
Jul-12-2012,9.13
Jul-13-2012,9.27
Jul-16-2012,9.26
Jul-17-2012,9.34
Jul-18-2012,9.38
Jul-19-2012,9.35
Jul-20-2012,9.21
Jul-23-2012,9.17
Jul-24-2012,9.06
Jul-25-2012,8.97
Jul-26-2012,8.96
Jul-27-2012,9
Jul-30-2012,9.1
Jul-31-2012,9.24
Aug-01-2012,9.04
Aug-02-2012,8.92
Aug-03-2012,9.09
Aug-06-2012,9.15
Aug-07-2012,9.31
Aug-08-2012,9.35
Aug-09-2012,9.34
Aug-10-2012,9.35
Aug-13-2012,9.4
Aug-14-2012,9.44
Aug-15-2012,9.49
Aug-16-2012,9.59
Aug-17-2012,9.63
Aug-20-2012,9.63
Aug-21-2012,9.53
Aug-22-2012,9.49
Aug-23-2012,9.45
Aug-24-2012,9.49
Aug-27-2012,9.39
Aug-28-2012,9.34
Aug-29-2012,9.32
Aug-30-2012,9.31
